player_id,player_name,team_id,season,n_matches,n_starts,start_rate_all,n_hard,n_hard_starts,start_rate_hard,n_easy,n_easy_starts,start_rate_easy,rotation_elasticity
10760,Brennan Johnson,Tottenham,2023,33.0,24.0,0.7272727272727273,11.0,10.0,0.9090909090909091,12.0,5.0,0.4166666666666667,0.4924242424242424
10760,Brennan Johnson,Tottenham,2024,33.0,24.0,0.7272727272727273,11.0,6.0,0.5454545454545454,12.0,11.0,0.9166666666666666,-0.3712121212121212
10764,Djed Spence,Tottenham,2022,7.0,3.0,0.42857142857142855,2.0,1.0,0.5,5.0,2.0,0.4,0.09999999999999998
10764,Djed Spence,Tottenham,2024,25.0,19.0,0.76,12.0,9.0,0.75,5.0,3.0,0.6,0.15000000000000002
10765,Gavin Bazunu,Southampton,2022,32.0,32.0,1.0,10.0,10.0,1.0,11.0,11.0,1.0,0.0
10766,Joe Ayodele-Aribo,Southampton,2022,21.0,13.0,0.6190476190476191,6.0,4.0,0.6666666666666666,7.0,4.0,0.5714285714285714,0.09523809523809523
10766,Joe Ayodele-Aribo,Southampton,2024,32.0,21.0,0.65625,12.0,6.0,0.5,11.0,8.0,0.7272727272727273,-0.2272727272727273
1078,Sergi Canos,Brentford,2021,31.0,25.0,0.8064516129032258,11.0,8.0,0.7272727272727273,10.0,7.0,0.7,0.027272727272727337
1078,Sergi Canos,Brentford,2022,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
10802,Lisandro Martínez,Man United,2022,27.0,24.0,0.8888888888888888,11.0,10.0,0.9090909090909091,7.0,6.0,0.8571428571428571,0.051948051948051965
10802,Lisandro Martínez,Man United,2023,11.0,8.0,0.7272727272727273,3.0,2.0,0.6666666666666666,3.0,3.0,1.0,-0.33333333333333337
10802,Lisandro Martínez,Man United,2024,20.0,20.0,1.0,4.0,4.0,1.0,9.0,9.0,1.0,0.0
10803,Tyrell Malacia,Man United,2022,22.0,14.0,0.6363636363636364,9.0,6.0,0.6666666666666666,6.0,3.0,0.5,0.16666666666666663
10803,Tyrell Malacia,Man United,2024,3.0,2.0,0.6666666666666666,2.0,1.0,0.5,1.0,1.0,1.0,-0.5
10804,Deniz Undav,Brighton,2022,22.0,6.0,0.2727272727272727,6.0,2.0,0.3333333333333333,11.0,3.0,0.2727272727272727,0.06060606060606061
10805,Levi Colwill,Brighton,2022,17.0,13.0,0.7647058823529411,7.0,6.0,0.8571428571428571,6.0,5.0,0.8333333333333334,0.023809523809523725
10805,Levi Colwill,Chelsea,2023,23.0,20.0,0.8695652173913043,8.0,6.0,0.75,7.0,7.0,1.0,-0.25
10805,Levi Colwill,Chelsea,2024,35.0,35.0,1.0,12.0,12.0,1.0,11.0,11.0,1.0,0.0
10806,Kaoru Mitoma,Brighton,2022,33.0,24.0,0.7272727272727273,11.0,7.0,0.6363636363636364,10.0,9.0,0.9,-0.26363636363636367
10806,Kaoru Mitoma,Brighton,2023,19.0,15.0,0.7894736842105263,6.0,5.0,0.8333333333333334,8.0,5.0,0.625,0.20833333333333337
10806,Kaoru Mitoma,Brighton,2024,36.0,28.0,0.7777777777777778,12.0,9.0,0.75,12.0,10.0,0.8333333333333334,-0.08333333333333337
10807,Jan Paul van Hecke,Brighton,2022,8.0,3.0,0.375,3.0,2.0,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666
